assessid,stockid,stockid_ramsr,mgmt,assessor,country,region,area,area_code,stocklong,species,comm_name1,comm_name2,shp_source,shp_path,zone_col,zones,notes
AFSC-ALSKABSAI-1950-2020-SISIMP2021-2,ALSKABSAI,,,,,,,,,,,,AFSC-ALSKABSAI-1950-2020-SISIMP2021-2,,,,
AFSC-NRSOLEGA-1977-2019-SISIMP2021-2,NRSOLEGA,,,,,,,,,,,,AFSC-NRSOLEGA-1977-2019-SISIMP2021-2,,,,
AFSC-PCODAI-1964-2020-SISIMP2021-2,PCODAI,,,,,,,,,,,,AFSC-PCODAI-1964-2020-SISIMP2021-2,,,,
AFSC-PCODBS-1977-2021-SISIMP2022,PCODBS,,,,,,,,,,,,AFSC-PCODBS-1977-2021-SISIMP2022,,,,
AFSC-RSOLEGA-1977-2017-SISIMP2021-2,RSOLEGA,,,,,,,,,,,,AFSC-RSOLEGA-1977-2017-SISIMP2021-2,,,,
AFSC-SSTHORNHGA-1980-2020-SISIMP2021-2,SSTHORNHGA,,,,,,,,,,,,AFSC-SSTHORNHGA-1980-2020-SISIMP2021-2,,,,
AFSC-WPOLLBOGO-1977-2020-SISIMP2021-2,WPOLLBOGO,,,,,,,,,,,,AFSC-WPOLLBOGO-1977-2020-SISIMP2021-2,,,,
AFSC-YEYEROCKGA-1992-2020-SISIMP2021-2,YEYEROCKGA,,,,,,,,,,,,AFSC-YEYEROCKGA-1992-2020-SISIMP2021-2,,,,
CSIRO-BGRDRNSWWA-1960-2020-MOESENEDER,BGRDRNSWWA,,,,,,,,,,,,CSIRO-BGRDRNSWWA-1960-2020-MOESENEDER,,,,
CSIRO-MORWONGESE-1915-2020-MOESENEDER,MORWONGESE,,,,,,,,,,,,CSIRO-MORWONGESE-1915-2020-MOESENEDER,,,,
CSIRO-MORWONGWSE-1986-2017-MOESENEDER,MORWONGWSE,,,,,,,,,,,,CSIRO-MORWONGWSE-1986-2017-MOESENEDER,,,,
CSIRO-REDFEAUS-1975-2016-MOESENEDER,REDFEAUS,,,,,,,,,,,,CSIRO-REDFEAUS-1975-2016-MOESENEDER,,,,
DFO-PAC-HERRHG-1949-2018-ASHBROOK,HERRHG,,,,,,,,,,,,DFO-PAC-HERRHG-1949-2018-ASHBROOK,,,,
DFO-PAC-PCOD5ABCD-1953-2019-ASHBROOK,PCOD5ABCD,,,,,,,,,,,,DFO-PAC-PCOD5ABCD-1953-2019-ASHBROOK,,,,
DFO-PAC-PERCHHG-1939-2017-ASHBROOK,PERCHHG,,,,,,,,,,,,DFO-PAC-PERCHHG-1939-2017-ASHBROOK,,,,
DFO-PAC-RSROCKBCWN-1939-2018-ASHBROOK,RSROCKBCWN,,,,,,,,,,,,DFO-PAC-RSROCKBCWN-1939-2018-ASHBROOK,,,,
DFO-PAC-RSROCKBCWS-1939-2018-ASHBROOK,RSROCKBCWS,,,,,,,,,,,,DFO-PAC-RSROCKBCWS-1939-2018-ASHBROOK,,,,
FAFRFJ-APOLLNSJ-1970-2013-JPNIMP2016,APOLLNSJ,,,,,,,,,,,,FAFRFJ-APOLLNSJ-1970-2013-JPNIMP2016,,,,
FBDAFF-ECSOLESASC-1920-2020-GLAZER,ECSOLESASC,,,,,,,,,,,,FBDAFF-ECSOLESASC-1920-2020-GLAZER,,,,
HAWG-HERRNS-IIIa-VIId-1947-2021-ICESIMP2021-2,HERRNS-IIIa-VIId,,,,,,,,,,,,HAWG-HERRNS-IIIa-VIId-1947-2021-ICESIMP2021-2,,,,
IFOPCH-CSARDCSCH-1991-2020-Quiroz,CSARDCSCH,,,,,,,,,,,,IFOPCH-CSARDCSCH-1991-2020-Quiroz,,,,
IFOPCH-PANCHCCH-1985-2020-Quiroz,PANCHCCH,,,,,,,,,,,,IFOPCH-PANCHCCH-1985-2020-Quiroz,,,,
IFOPCH-PANCHNCHSP-1986-2019-Quiroz,PANCHNCHSP,,,,,,,,,,,,IFOPCH-PANCHNCHSP-1986-2019-Quiroz,,,,
IFOPCH-PCEELCSCH-1978-2020-Quiroz,PCEELCSCH,,,,,,,,,,,,IFOPCH-PCEELCSCH-1978-2020-Quiroz,,,,
IFOPCH-PCEELSCH-1978-2020-Quiroz,PCEELSCH,,,,,,,,,,,,IFOPCH-PCEELSCH-1978-2020-Quiroz,,,,
IFOPCH-SBWHITCH-1978-2020-Quiroz,SBWHITCH,,,,,,,,,,,,IFOPCH-SBWHITCH-1978-2020-Quiroz,,,,
IFOPCH-YNOSESKACSCH-1978-2014-PARMA,YNOSESKACSCH,,,,,,,,,,,,IFOPCH-YNOSESKACSCH-1978-2014-PARMA,,,,
INIDEP-ACMACKSARG-1989-2020-PARMA,ACMACKSARG,,,,,,,,,,,,INIDEP-ACMACKSARG-1989-2020-PARMA,,,,
INIDEP-PCEELARGS-1979-2014-CORDO,PCEELARGS,,,,,,,,,,,,INIDEP-PCEELARGS-1979-2014-CORDO,,,,
IOTC-BLSHARIO-1970-2019-SMITH,BLSHARIO,,,,,,,,,,,,IOTC-BLSHARIO-1970-2019-SMITH,,,,
MARAM-SARDSAS-1984-2019-deMoor,SARDSAS,,,,,,,,,,,,MARAM-SARDSAS-1984-2019-deMoor,,,,
MARAM-SARDSAW-1949-2019-deMoor,SARDSAW,,,,,,,,,,,,MARAM-SARDSAW-1949-2019-deMoor,,,,
NatMIRC-HAKESPPSAF-1964-2019-ASHBROOK,HAKESPPSAF,,,,,,,,,,,,NatMIRC-HAKESPPSAF-1964-2019-ASHBROOK,,,,
NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016,AUROCKPCOAST,,,,,,,,,,,,NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016,,,,
NWFSC-BLACKROCKORECOAST-1892-2019-SISIMP2021-2,BLACKROCKORECOAST,,,,,,,,,,,,NWFSC-BLACKROCKORECOAST-1892-2019-SISIMP2021-2,,,,
NWFSC-BLACKROCKWASH-1940-2019-SISIMP2021-2,BLACKROCKWASH,,,,,,,,,,,,NWFSC-BLACKROCKWASH-1940-2019-SISIMP2021-2,,,,
NWFSC-CHROCKCPCOAST-1900-2019-SISIMP2021-2,CHROCKCPCOAST,,,,,,,,,,,,NWFSC-CHROCKCPCOAST-1900-2019-SISIMP2021-2,,,,
NWFSC-CHROCKSPCOAST-1900-2019-SISIMP2021-2,CHROCKSPCOAST,,,,,,,,,,,,NWFSC-CHROCKSPCOAST-1900-2019-SISIMP2021-2,,,,
NWFSC-SHCROCKPCOAST-1892-2012-SISIMP2016,SHCROCKPCOAST,,,,,,,,,,,,NWFSC-SHCROCKPCOAST-1892-2012-SISIMP2016,,,,
NWWG-COD1F-XIV-1973-2021-ICESIMP2021-2,COD1F-XIV,,,,,,,,,,,,NWWG-COD1F-XIV-1973-2021-ICESIMP2021-2,,,,
NWWG-COD1IN-1976-2021-ICESIMP2021-2,COD1IN,,,,,,,,,,,,NWWG-COD1IN-1976-2021-ICESIMP2021-2,,,,
NWWG-GOLDREDV-VI-XII-XIV-1971-2021-ICESIMP2021-2,GOLDREDV-VI-XII-XIV,,,,,,,,,,,,NWWG-GOLDREDV-VI-XII-XIV-1971-2021-ICESIMP2021-2,,,,
SARDI-SARDWSE-1992-2017-MOESENEDER,SARDWSE,,,,,,,,,,,,SARDI-SARDWSE-1992-2017-MOESENEDER,,,,
SEFSC-COBGM-1927-2018-SISIMP2021-2,COBGM,,,,,,,,,,,,SEFSC-COBGM-1927-2018-SISIMP2021-2,,,,
SEFSC-SMDOGATL-1981-2012-SISIMP2016,SMDOGATL,,,,,,,,,,,,SEFSC-SMDOGATL-1981-2012-SISIMP2016,,,,
SWFSC-BLACKROCKCAL-1916-2019-SISIMP2021-2,BLACKROCKCAL,,,,,,,,,,,,SWFSC-BLACKROCKCAL-1916-2019-SISIMP2021-2,,,,
SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016,BRNROCKPCOAST,,,,,,,,,,,,SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016,,,,
SWFSC-CHROCKNPCOAST-1900-2019-SISIMP2021-2,CHROCKNPCOAST,,,,,,,,,,,,SWFSC-CHROCKNPCOAST-1900-2019-SISIMP2021-2,,,,
SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016,CPRROCKPCOAST,,,,,,,,,,,,SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016,,,,
WGBFAS-HERR30-31-1963-2021-ICESIMP2021-2,HERR30-31,,,,,,,,,,,,WGBFAS-HERR30-31-1963-2021-ICESIMP2021-2,,,,
WGBFAS-HERR2529-32-1974-2021-ICESIMP2021-2,HERR2529-32,,,,,,,,,,,,WGBFAS-HERR2529-32-1974-2021-ICESIMP2021-2,,,,
WGBFAS-SOLEIIIa-2224-1984-2021-ICESIMP2021-2,SOLEIIIa-2224,,,,,,,,,,,,WGBFAS-SOLEIIIa-2224-1984-2021-ICESIMP2021-2,,,,
WGBIE-MEGVII-VIIIabd-1984-2021-ICESIMP2021-2,MEGVII-VIIIabd,,,,,,,,,,,,WGBIE-MEGVII-VIIIabd-1984-2021-ICESIMP2021-2,,,,
WGBIE-SOLEVIIIab-1984-2020-ICESIMP2021-2,SOLEVIIIab,,,,,,,,,,,,WGBIE-SOLEVIIIab-1984-2020-ICESIMP2021-2,,,,
WGBIE-WANGLVIIIc-IXa-1980-2021-ICESIMP2021-2,WANGLVIIIc-IXa,,,,,,,,,,,,WGBIE-WANGLVIIIc-IXa-1980-2021-ICESIMP2021-2,,,,
WGBIE-WANGLVII-VIIIabd-1986-2021-ICESIMP2021-2,WANGLVII-VIIIabd,,,,,,,,,,,,WGBIE-WANGLVII-VIIIabd-1986-2021-ICESIMP2021-2,,,,
WGCSE-EBASSIVbc-VII-1985-2021-ICESIMP2021-2,EBASSIVbc-VII,,,,,,,,,,,,WGCSE-EBASSIVbc-VII-1985-2021-ICESIMP2021-2,,,,
WGCSE-WHITVIIa-1980-2021-ICESIMP2021-2,WHITVIIa,,,,,,,,,,,,WGCSE-WHITVIIa-1980-2021-ICESIMP2021-2,,,,
WGDEEP-CUSKVa-XIV-1982-2021-ICESIMP2021-2,CUSKVa-XIV,,,,,,,,,,,,WGDEEP-CUSKVa-XIV-1982-2021-ICESIMP2021-2,,,,
WGDEEP-LINGVa-1982-2021-ICESIMP2021-2,LINGVa,,,,,,,,,,,,WGDEEP-LINGVa-1982-2021-ICESIMP2021-2,,,,
WGNSSK-CODIIIaW-IV-VIId-1963-2021-ICESIMP2021-2,CODIIIaW-IV-VIId,,,,,,,,,,,,WGNSSK-CODIIIaW-IV-VIId-1963-2021-ICESIMP2021-2,,,,
WGNSSK-HADNS-IIIa-VIa-1972-2021-ICESIMP2021-2,HADNS-IIIa-VIa,,,,,,,,,,,,WGNSSK-HADNS-IIIa-VIa-1972-2021-ICESIMP2021-2,,,,
WGNSSK-NPOUTIIIa-IV-1984-2021-ICESIMP2022,NPOUTIIIa-IV,,,,,,,,,,,,WGNSSK-NPOUTIIIa-IV-1984-2021-ICESIMP2022,,,,
WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2020-ICESIMP2021-2,HMACKIIa-IVa-Vb-VIa-VII-VIII,,,,,,,,,,,,WGWIDE-HMACKIIa-IVa-Vb-VIa-VII-VIII-1982-2020-ICESIMP2021-2,,,,
